nom_asignatura,grupo,totalmatriculados,aprobados,desaprobados,inhabilitados
SISTEMAS OPERATIVOS,2,40,38,2,0
BIOINFORMATICA,1,40,40,0,0
COMPUTACION II,1,40,24,5,11
SISTEMAS OPERATIVOS,1,40,29,9,2
SISTEMAS DE INFORMACION I,1,40,35,4,1
ADMINISTRACION DE PROYECTOS DE SISTEMAS,1,40,38,2,0
COMUNICACION DE DATOS,1,40,30,10,0
INGENIERIA DE SOFTWARE,1,40,40,0,0
DIBUJO DE INGENIERIA,1,40,37,1,2
INTELIGENCIA ARTIFICIAL,1,40,39,0,1
DIBUJO DE INGENIERIA,2,40,34,6,0
CREATIVIDAD E INNOVACION,2,40,39,1,0
INGENIERIA DE INFORMACION,1,40,40,0,0
SISTEMAS OPERATIVOS,1,40,27,13,0
GESTION DEL CONOCIMIENTO,1,40,0,0,0
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,41,29,1,11
FISICA II,1,41,32,2,7
SISTEMAS DE INFORMACION   I,1,41,37,3,1
BASE DE DATOS,1,41,30,4,7
REDES DE COMUNICACION,1,41,33,8,0
